from_stop_id,to_stop_id,transfer_type,min_transfer_time
891085012502,891085012502,2,180
891085002441,891085002441,2,180
891085003824,891085003824,2,180
891085003828,891085003828,2,180
891085003830,891085003830,2,180
891085004601,891085004601,2,180
891085014601,891085014601,2,180
891085014605,891085014605,2,180
891085014603,891085014603,2,180
891085004212,891085004212,2,180
891085004210,891085004210,2,180
891085004208,891085004208,2,180
891085004202,891085004202,2,180
891085004302,891085004302,2,180
891085014606,891085014606,2,180
891085002908,891085002908,2,180
891085002301,891085002301,2,180
891085002303,891085002303,2,180
891085002418,891085002418,2,180
891085002425,891085002425,2,180
891085040132,891085040132,2,180
891085011301,891085011301,2,180
891085011401,891085011401,2,180
891085011403,891085011403,2,180
891085011405,891085011405,2,180
891085011407,891085011407,2,180
891085000415,891085000415,2,180
891085000413,891085000413,2,180
891085000412,891085000412,2,180
891085000625,891085000625,2,180
891085000627,891085000627,2,180
891085001005,891085001005,2,180
891085001006,891085001006,2,180
891085001004,891085001004,2,180
891085001002,891085001002,2,180
891085000816,891085000816,2,180
891085000411,891085000411,2,180
891085000416,891085000416,2,180
891085011408,891085011408,2,180
891085011406,891085011406,2,180
891085011404,891085011404,2,180
891085011402,891085011402,2,180
891085000714,891085000714,2,180
891085000911,891085000911,2,180
891085001001,891085001001,2,180
891085001003,891085001003,2,180
891085003223,891085003223,2,180
891085003225,891085003225,2,180
891085013204,891085013204,2,180
891085013310,891085013310,2,180
891085013308,891085013308,2,180
891085013306,891085013306,2,180
891085013304,891085013304,2,180
891085013302,891085013302,2,180
891085003224,891085003224,2,180
891085003222,891085003222,2,180
891085020135,891085020135,2,180
891085020136,891085020136,2,180
891085020137,891085020137,2,180
891085020138,891085020138,2,180
891085020139,891085020139,2,180
891085003910,891085003910,2,180
891085003909,891085003909,2,180
891085003908,891085003908,2,180
891085003907,891085003907,2,180
891085003904,891085003904,2,180
